#TENSORS 174
#DATASEG 3957880832
model.layers.4.self_attn.o_proj.weight | BF16 | [2560,4096] | 2901386496 | 20971520 | 12214104642630374515
model.layers.4.self_attn.q_norm.weight | BF16 | [128] | 2922358016 | 256 | 15342713740150708192
model.layers.4.self_attn.q_proj.weight | BF16 | [4096,2560] | 2922358272 | 20971520 | 8803152077436327958
model.layers.4.self_attn.v_proj.weight | BF16 | [1024,2560] | 2943329792 | 5242880 | 7183604158591743467
model.layers.5.input_layernorm.weight | BF16 | [2560] | 2948572672 | 5120 | 3444792424920632237
model.layers.5.mlp.down_proj.weight | BF16 | [2560,9728] | 2948577792 | 49807360 | 7810365121480787671
model.layers.5.mlp.gate_proj.weight | BF16 | [9728,2560] | 2998385152 | 49807360 | 12780587029381126718
model.layers.5.mlp.up_proj.weight | BF16 | [9728,2560] | 3048192512 | 49807360 | 13417935748429318044
model.layers.5.post_attention_layernorm.weight | BF16 | [2560] | 3097999872 | 5120 | 13381462766019056307
model.layers.5.self_attn.k_norm.weight | BF16 | [128] | 3098004992 | 256 | 2601598624892436585
model.layers.5.self_attn.k_proj.weight | BF16 | [1024,2560] | 3098005248 | 5242880 | 15427584389571957477
model.layers.5.self_attn.o_proj.weight | BF16 | [2560,4096] | 3103248128 | 20971520 | 16524808665658679552
model.layers.5.self_attn.q_norm.weight | BF16 | [128] | 3124219648 | 256 | 10010062607596882887
model.layers.5.self_attn.q_proj.weight | BF16 | [4096,2560] | 3124219904 | 20971520 | 7376944611221075490
model.layers.5.self_attn.v_proj.weight | BF16 | [1024,2560] | 3145191424 | 5242880 | 4374280537634608090
model.layers.6.input_layernorm.weight | BF16 | [2560] | 3150434304 | 5120 | 6863936728331661349
model.layers.6.mlp.down_proj.weight | BF16 | [2560,9728] | 3150439424 | 49807360 | 13387426152312430000
model.layers.6.mlp.gate_proj.weight | BF16 | [9728,2560] | 3200246784 | 49807360 | 2392623773398408736
model.layers.6.mlp.up_proj.weight | BF16 | [9728,2560] | 3250054144 | 49807360 | 13136297347801869101
model.layers.6.post_attention_layernorm.weight | BF16 | [2560] | 3299861504 | 5120 | 5142707639828500649
model.layers.6.self_attn.k_norm.weight | BF16 | [128] | 3299866624 | 256 | 263959992662412560
model.layers.6.self_attn.k_proj.weight | BF16 | [1024,2560] | 3299866880 | 5242880 | 11352090149141641451
model.layers.6.self_attn.o_proj.weight | BF16 | [2560,4096] | 3305109760 | 20971520 | 1219070867264757350
model.layers.6.self_attn.q_norm.weight | BF16 | [128] | 3326081280 | 256 | 6948770408752606622
model.layers.6.self_attn.q_proj.weight | BF16 | [4096,2560] | 3326081536 | 20971520 | 2783960295041398421
model.layers.6.self_attn.v_proj.weight | BF16 | [1024,2560] | 3347053056 | 5242880 | 2862599742860285494
model.layers.7.input_layernorm.weight | BF16 | [2560] | 3352295936 | 5120 | 13709409873405806255
model.layers.7.mlp.down_proj.weight | BF16 | [2560,9728] | 3352301056 | 49807360 | 7321264266126571377
model.layers.7.mlp.gate_proj.weight | BF16 | [9728,2560] | 3402108416 | 49807360 | 10948044800671956404
model.layers.7.mlp.up_proj.weight | BF16 | [9728,2560] | 3451915776 | 49807360 | 1757022965428266270
model.layers.7.post_attention_layernorm.weight | BF16 | [2560] | 3501723136 | 5120 | 10922928676985818436
model.layers.7.self_attn.k_norm.weight | BF16 | [128] | 3501728256 | 256 | 10076470607964563273
model.layers.7.self_attn.k_proj.weight | BF16 | [1024,2560] | 3501728512 | 5242880 | 13451479643388311603
model.layers.7.self_attn.o_proj.weight | BF16 | [2560,4096] | 3506971392 | 20971520 | 12523188102528229028
model.layers.7.self_attn.q_norm.weight | BF16 | [128] | 3527942912 | 256 | 11345834908326593779
model.layers.7.self_attn.q_proj.weight | BF16 | [4096,2560] | 3527943168 | 20971520 | 6667220193079208973
model.layers.7.self_attn.v_proj.weight | BF16 | [1024,2560] | 3548914688 | 5242880 | 6694508801667130273
model.layers.8.input_layernorm.weight | BF16 | [2560] | 3554157568 | 5120 | 9200894055757994951
model.layers.8.mlp.down_proj.weight | BF16 | [2560,9728] | 3554162688 | 49807360 | 11399633487380117632
model.layers.8.mlp.gate_proj.weight | BF16 | [9728,2560] | 3603970048 | 49807360 | 10049061575149569482
model.layers.8.mlp.up_proj.weight | BF16 | [9728,2560] | 3653777408 | 49807360 | 10556898467005038624
model.layers.8.post_attention_layernorm.weight | BF16 | [2560] | 3703584768 | 5120 | 12704276903990662497
model.layers.8.self_attn.k_norm.weight | BF16 | [128] | 3703589888 | 256 | 17736195857185284695
model.layers.8.self_attn.k_proj.weight | BF16 | [1024,2560] | 3703590144 | 5242880 | 7479977963721900615
model.layers.8.self_attn.o_proj.weight | BF16 | [2560,4096] | 3708833024 | 20971520 | 4949561848282292081
