#TENSORS 219
#DATASEG 3987425280
model.layers.31.post_attention_layernorm.weight | BF16 | [2560] | 3227169280 | 5120 | 841060619834284608
model.layers.31.self_attn.k_norm.weight | BF16 | [128] | 3227174400 | 256 | 11968315590204167040
model.layers.31.self_attn.k_proj.weight | BF16 | [1024,2560] | 3227174656 | 5242880 | 11104708425151597433
model.layers.31.self_attn.o_proj.weight | BF16 | [2560,4096] | 3232417536 | 20971520 | 12686811371317324077
model.layers.31.self_attn.q_norm.weight | BF16 | [128] | 3253389056 | 256 | 2748142457693200045
model.layers.31.self_attn.q_proj.weight | BF16 | [4096,2560] | 3253389312 | 20971520 | 3525051853220685540
model.layers.31.self_attn.v_proj.weight | BF16 | [1024,2560] | 3274360832 | 5242880 | 5041187808155336112
model.layers.32.input_layernorm.weight | BF16 | [2560] | 3279603712 | 5120 | 14952450503907982705
model.layers.32.mlp.down_proj.weight | BF16 | [2560,9728] | 3279608832 | 49807360 | 14178961904101195947
model.layers.32.mlp.gate_proj.weight | BF16 | [9728,2560] | 3329416192 | 49807360 | 7981739531865580952
model.layers.32.mlp.up_proj.weight | BF16 | [9728,2560] | 3379223552 | 49807360 | 14330393001330274877
model.layers.32.post_attention_layernorm.weight | BF16 | [2560] | 3429030912 | 5120 | 4994994040113466883
model.layers.32.self_attn.k_norm.weight | BF16 | [128] | 3429036032 | 256 | 6255292854511371791
model.layers.32.self_attn.k_proj.weight | BF16 | [1024,2560] | 3429036288 | 5242880 | 13848823189011210416
model.layers.32.self_attn.o_proj.weight | BF16 | [2560,4096] | 3434279168 | 20971520 | 12707131826566335285
model.layers.32.self_attn.q_norm.weight | BF16 | [128] | 3455250688 | 256 | 2996027510507304881
model.layers.32.self_attn.q_proj.weight | BF16 | [4096,2560] | 3455250944 | 20971520 | 14721784324947193957
model.layers.32.self_attn.v_proj.weight | BF16 | [1024,2560] | 3476222464 | 5242880 | 18375723018050505035
model.layers.33.input_layernorm.weight | BF16 | [2560] | 3481465344 | 5120 | 5794607139903837722
model.layers.33.mlp.down_proj.weight | BF16 | [2560,9728] | 3481470464 | 49807360 | 4600636408495381755
model.layers.33.mlp.gate_proj.weight | BF16 | [9728,2560] | 3531277824 | 49807360 | 2014774925215522643
model.layers.33.mlp.up_proj.weight | BF16 | [9728,2560] | 3581085184 | 49807360 | 15623815393484566057
model.layers.33.post_attention_layernorm.weight | BF16 | [2560] | 3630892544 | 5120 | 13959856817347083887
model.layers.33.self_attn.k_norm.weight | BF16 | [128] | 3630897664 | 256 | 15540481647739631052
model.layers.33.self_attn.k_proj.weight | BF16 | [1024,2560] | 3630897920 | 5242880 | 2306610022099034360
model.layers.33.self_attn.o_proj.weight | BF16 | [2560,4096] | 3636140800 | 20971520 | 3045282225481041831
model.layers.33.self_attn.q_norm.weight | BF16 | [128] | 3657112320 | 256 | 489482041398759036
