#TENSORS 423
#DATASEG 9973681280
layers.17.adaLN_modulation.0.weight | BF16 | [15360,256] | 3986913920 | 7864320 | 6841121596381842620
layers.17.attention.norm_k.weight | BF16 | [128] | 3994778240 | 256 | 7922257407215287931
layers.17.attention.norm_q.weight | BF16 | [128] | 3994778496 | 256 | 4402133974133119225
layers.17.attention.to_k.weight | BF16 | [3840,3840] | 3994778752 | 29491200 | 8346025964148362957
layers.17.attention.to_out.0.weight | BF16 | [3840,3840] | 4024269952 | 29491200 | 16771481772595555483
layers.17.attention.to_q.weight | BF16 | [3840,3840] | 4053761152 | 29491200 | 7796055229285906050
layers.17.attention.to_v.weight | BF16 | [3840,3840] | 4083252352 | 29491200 | 3488010393993169708
layers.17.attention_norm1.weight | BF16 | [3840] | 4112743552 | 7680 | 13815644468448667968
layers.17.attention_norm2.weight | BF16 | [3840] | 4112751232 | 7680 | 2839612943913087440
layers.17.feed_forward.w1.weight | BF16 | [10240,3840] | 4112758912 | 78643200 | 5243071947724552273
layers.17.feed_forward.w2.weight | BF16 | [3840,10240] | 4191402112 | 78643200 | 1553408724518413589
layers.17.feed_forward.w3.weight | BF16 | [10240,3840] | 4270045312 | 78643200 | 12254903766852657060
layers.17.ffn_norm1.weight | BF16 | [3840] | 4348688512 | 7680 | 9377672665592427858
layers.17.ffn_norm2.weight | BF16 | [3840] | 4348696192 | 7680 | 17035009642360158377
layers.18.adaLN_modulation.0.bias | BF16 | [15360] | 4348703872 | 30720 | 8666308800657220905
layers.18.adaLN_modulation.0.weight | BF16 | [15360,256] | 4348734592 | 7864320 | 1878733799509424740
layers.18.attention.norm_k.weight | BF16 | [128] | 4356598912 | 256 | 11620026679399286698
layers.18.attention.norm_q.weight | BF16 | [128] | 4356599168 | 256 | 5982551983040457382
layers.18.attention.to_k.weight | BF16 | [3840,3840] | 4356599424 | 29491200 | 230314456751428737
layers.18.attention.to_out.0.weight | BF16 | [3840,3840] | 4386090624 | 29491200 | 5616265884324716585
layers.18.attention.to_q.weight | BF16 | [3840,3840] | 4415581824 | 29491200 | 12889088186651933954
layers.18.attention.to_v.weight | BF16 | [3840,3840] | 4445073024 | 29491200 | 17819252781159750746
layers.18.attention_norm1.weight | BF16 | [3840] | 4474564224 | 7680 | 10505048586607543482
layers.18.attention_norm2.weight | BF16 | [3840] | 4474571904 | 7680 | 11253562396638922183
layers.18.feed_forward.w1.weight | BF16 | [10240,3840] | 4474579584 | 78643200 | 7668867454441824427
layers.18.feed_forward.w2.weight | BF16 | [3840,10240] | 4553222784 | 78643200 | 9291254669154195962
layers.18.feed_forward.w3.weight | BF16 | [10240,3840] | 4631865984 | 78643200 | 16049984525397170091
layers.18.ffn_norm1.weight | BF16 | [3840] | 4710509184 | 7680 | 5387413969096909032
layers.18.ffn_norm2.weight | BF16 | [3840] | 4710516864 | 7680 | 16980646873826730081
layers.19.adaLN_modulation.0.bias | BF16 | [15360] | 4710524544 | 30720 | 16210644114125402005
layers.19.adaLN_modulation.0.weight | BF16 | [15360,256] | 4710555264 | 7864320 | 11402343720568484482
layers.19.attention.norm_k.weight | BF16 | [128] | 4718419584 | 256 | 17569195109238859593
layers.19.attention.norm_q.weight | BF16 | [128] | 4718419840 | 256 | 16525368099302302576
layers.19.attention.to_k.weight | BF16 | [3840,3840] | 4718420096 | 29491200 | 1985435642747955072
layers.19.attention.to_out.0.weight | BF16 | [3840,3840] | 4747911296 | 29491200 | 236967489899410491
layers.19.attention.to_q.weight | BF16 | [3840,3840] | 4777402496 | 29491200 | 7652658099551223087
layers.19.attention.to_v.weight | BF16 | [3840,3840] | 4806893696 | 29491200 | 8476972778579864607
layers.19.attention_norm1.weight | BF16 | [3840] | 4836384896 | 7680 | 4142052079069893221
layers.19.attention_norm2.weight | BF16 | [3840] | 4836392576 | 7680 | 11704656539476254953
layers.19.feed_forward.w1.weight | BF16 | [10240,3840] | 4836400256 | 78643200 | 17532887977544677211
layers.19.feed_forward.w2.weight | BF16 | [3840,10240] | 4915043456 | 78643200 | 10494077548880144207
layers.19.feed_forward.w3.weight | BF16 | [10240,3840] | 4993686656 | 78643200 | 6865099610905713548
layers.19.ffn_norm1.weight | BF16 | [3840] | 5072329856 | 7680 | 7109987280804223837
layers.19.ffn_norm2.weight | BF16 | [3840] | 5072337536 | 7680 | 8151258642026929197
layers.2.adaLN_modulation.0.bias | BF16 | [15360] | 5072345216 | 30720 | 3572139918629443836
layers.2.adaLN_modulation.0.weight | BF16 | [15360,256] | 5072375936 | 7864320 | 10460475855467949265
layers.2.attention.norm_k.weight | BF16 | [128] | 5080240256 | 256 | 18237248298559861800
layers.2.attention.norm_q.weight | BF16 | [128] | 5080240512 | 256 | 11584690441342619377
layers.2.attention.to_k.weight | BF16 | [3840,3840] | 5080240768 | 29491200 | 12953218523048974411
layers.2.attention.to_out.0.weight | BF16 | [3840,3840] | 5109731968 | 29491200 | 2621298273928017018
layers.2.attention.to_q.weight | BF16 | [3840,3840] | 5139223168 | 29491200 | 3353460668023758926
layers.2.attention.to_v.weight | BF16 | [3840,3840] | 5168714368 | 29491200 | 10389088572802855131
layers.2.attention_norm1.weight | BF16 | [3840] | 5198205568 | 7680 | 1389189302356730047
layers.2.attention_norm2.weight | BF16 | [3840] | 5198213248 | 7680 | 4266130926159463477
layers.2.feed_forward.w1.weight | BF16 | [10240,3840] | 5198220928 | 78643200 | 3181039399243988118
layers.2.feed_forward.w2.weight | BF16 | [3840,10240] | 5276864128 | 78643200 | 9553930680352666195
layers.2.feed_forward.w3.weight | BF16 | [10240,3840] | 5355507328 | 78643200 | 12447169789319411973
layers.2.ffn_norm1.weight | BF16 | [3840] | 5434150528 | 7680 | 4106647905948141367
layers.2.ffn_norm2.weight | BF16 | [3840] | 5434158208 | 7680 | 4001946201212893143
layers.20.adaLN_modulation.0.bias | BF16 | [15360] | 5434165888 | 30720 | 2686345325283988280
layers.20.adaLN_modulation.0.weight | BF16 | [15360,256] | 5434196608 | 7864320 | 7412218742243429175
layers.20.attention.norm_k.weight | BF16 | [128] | 5442060928 | 256 | 2261684350032356288
layers.20.attention.norm_q.weight | BF16 | [128] | 5442061184 | 256 | 10587677898495562879
layers.20.attention.to_k.weight | BF16 | [3840,3840] | 5442061440 | 29491200 | 9865435475500611153
layers.20.attention.to_out.0.weight | BF16 | [3840,3840] | 5471552640 | 29491200 | 4118434516975219758
layers.20.attention.to_q.weight | BF16 | [3840,3840] | 5501043840 | 29491200 | 5004036173576045651
layers.20.attention.to_v.weight | BF16 | [3840,3840] | 5530535040 | 29491200 | 7379437393694394049
layers.20.attention_norm1.weight | BF16 | [3840] | 5560026240 | 7680 | 480121471716662477
layers.20.attention_norm2.weight | BF16 | [3840] | 5560033920 | 7680 | 8179667360735910870
layers.20.feed_forward.w1.weight | BF16 | [10240,3840] | 5560041600 | 78643200 | 5523699834925201307
layers.20.feed_forward.w2.weight | BF16 | [3840,10240] | 5638684800 | 78643200 | 10399691998458032917
layers.20.feed_forward.w3.weight | BF16 | [10240,3840] | 5717328000 | 78643200 | 4612205454552656972
layers.20.ffn_norm1.weight | BF16 | [3840] | 5795971200 | 7680 | 8308434121796581792
layers.20.ffn_norm2.weight | BF16 | [3840] | 5795978880 | 7680 | 8501061511703005976
layers.21.adaLN_modulation.0.bias | BF16 | [15360] | 5795986560 | 30720 | 11669036982232295064
layers.21.adaLN_modulation.0.weight | BF16 | [15360,256] | 5796017280 | 7864320 | 5246380841988245421
layers.21.attention.norm_k.weight | BF16 | [128] | 5803881600 | 256 | 10057572814496800539
layers.21.attention.norm_q.weight | BF16 | [128] | 5803881856 | 256 | 10318621792765729882
layers.21.attention.to_k.weight | BF16 | [3840,3840] | 5803882112 | 29491200 | 8606906112941298206
layers.21.attention.to_out.0.weight | BF16 | [3840,3840] | 5833373312 | 29491200 | 3159396249408173148
layers.21.attention.to_q.weight | BF16 | [3840,3840] | 5862864512 | 29491200 | 14338675663668816277
layers.21.attention.to_v.weight | BF16 | [3840,3840] | 5892355712 | 29491200 | 15172440948688258591
layers.21.attention_norm1.weight | BF16 | [3840] | 5921846912 | 7680 | 16686050000459201413
layers.21.attention_norm2.weight | BF16 | [3840] | 5921854592 | 7680 | 5649054158899780399
layers.21.feed_forward.w1.weight | BF16 | [10240,3840] | 5921862272 | 78643200 | 10239965472143745862
layers.21.feed_forward.w2.weight | BF16 | [3840,10240] | 6000505472 | 78643200 | 14514272821536210236
layers.21.feed_forward.w3.weight | BF16 | [10240,3840] | 6079148672 | 78643200 | 15905183169261292763
layers.21.ffn_norm1.weight | BF16 | [3840] | 6157791872 | 7680 | 16670274040368839363
layers.21.ffn_norm2.weight | BF16 | [3840] | 6157799552 | 7680 | 8630942104071474720
layers.22.adaLN_modulation.0.bias | BF16 | [15360] | 6157807232 | 30720 | 7188022655281402851
layers.22.adaLN_modulation.0.weight | BF16 | [15360,256] | 6157837952 | 7864320 | 15864296792784355022
layers.22.attention.norm_k.weight | BF16 | [128] | 6165702272 | 256 | 4674054382923755265
layers.22.attention.norm_q.weight | BF16 | [128] | 6165702528 | 256 | 1972937443951402434
layers.22.attention.to_k.weight | BF16 | [3840,3840] | 6165702784 | 29491200 | 3485175357914768927
layers.22.attention.to_out.0.weight | BF16 | [3840,3840] | 6195193984 | 29491200 | 15787011293170338150
layers.22.attention.to_q.weight | BF16 | [3840,3840] | 6224685184 | 29491200 | 11978832459118107063
layers.22.attention.to_v.weight | BF16 | [3840,3840] | 6254176384 | 29491200 | 6187574475294477180
layers.22.attention_norm1.weight | BF16 | [3840] | 6283667584 | 7680 | 2554711858500467215
layers.22.attention_norm2.weight | BF16 | [3840] | 6283675264 | 7680 | 11015473631259352362
layers.22.feed_forward.w1.weight | BF16 | [10240,3840] | 6283682944 | 78643200 | 14292031488705187476
layers.22.feed_forward.w2.weight | BF16 | [3840,10240] | 6362326144 | 78643200 | 10975674151144910914
layers.22.feed_forward.w3.weight | BF16 | [10240,3840] | 6440969344 | 78643200 | 3207972800670397615
layers.22.ffn_norm1.weight | BF16 | [3840] | 6519612544 | 7680 | 10532235296168109560
layers.22.ffn_norm2.weight | BF16 | [3840] | 6519620224 | 7680 | 2146661719014279318
layers.23.attention.norm_k.weight | BF16 | [128] | 6519627904 | 256 | 17236283355857697085
layers.23.attention.norm_q.weight | BF16 | [128] | 6519628160 | 256 | 9787573182500652373
layers.23.attention.to_k.weight | BF16 | [3840,3840] | 6519628416 | 29491200 | 15005358531527748950
layers.23.attention.to_out.0.weight | BF16 | [3840,3840] | 6549119616 | 29491200 | 8432525032454421052
layers.23.attention.to_q.weight | BF16 | [3840,3840] | 6578610816 | 29491200 | 7786675246128200677
layers.23.attention.to_v.weight | BF16 | [3840,3840] | 6608102016 | 29491200 | 15454895843882178423
layers.23.feed_forward.w1.weight | BF16 | [10240,3840] | 6637593216 | 78643200 | 4794550413708724633
