#TENSORS 244
#DATASEG 167639366
decoder.up_blocks.3.resnets.1.conv1.weight | BF16 | [128,128,3,3] | 97908486 | 294912 | 8548205876602298468
decoder.up_blocks.3.resnets.1.conv2.bias | BF16 | [128] | 98203398 | 256 | 7726826284848546024
decoder.up_blocks.3.resnets.1.conv2.weight | BF16 | [128,128,3,3] | 98203654 | 294912 | 14341243160791241598
decoder.up_blocks.3.resnets.1.norm1.bias | BF16 | [128] | 98498566 | 256 | 13141472332056106111
decoder.up_blocks.3.resnets.1.norm1.weight | BF16 | [128] | 98498822 | 256 | 2543353254561181209
decoder.up_blocks.3.resnets.1.norm2.bias | BF16 | [128] | 98499078 | 256 | 1373029387082698306
decoder.up_blocks.3.resnets.1.norm2.weight | BF16 | [128] | 98499334 | 256 | 15340025730434437342
decoder.up_blocks.3.resnets.2.conv1.bias | BF16 | [128] | 98499590 | 256 | 435048251846223482
decoder.up_blocks.3.resnets.2.conv1.weight | BF16 | [128,128,3,3] | 98499846 | 294912 | 16083082730909257042
decoder.up_blocks.3.resnets.2.conv2.bias | BF16 | [128] | 98794758 | 256 | 5792462005901006574
decoder.up_blocks.3.resnets.2.conv2.weight | BF16 | [128,128,3,3] | 98795014 | 294912 | 8590392741802213945
decoder.up_blocks.3.resnets.2.norm1.bias | BF16 | [128] | 99089926 | 256 | 1662497039090843799
decoder.up_blocks.3.resnets.2.norm1.weight | BF16 | [128] | 99090182 | 256 | 13440825397053167487
decoder.up_blocks.3.resnets.2.norm2.bias | BF16 | [128] | 99090438 | 256 | 15772878451636429666
decoder.up_blocks.3.resnets.2.norm2.weight | BF16 | [128] | 99090694 | 256 | 9307382921544638218
encoder.conv_in.bias | BF16 | [128] | 99090950 | 256 | 14584871393737099328
encoder.conv_in.weight | BF16 | [128,3,3,3] | 99091206 | 6912 | 12840435548774465141
encoder.conv_norm_out.bias | BF16 | [512] | 99098118 | 1024 | 7536441362966037562
encoder.conv_norm_out.weight | BF16 | [512] | 99099142 | 1024 | 4134959446010624655
encoder.conv_out.bias | BF16 | [32] | 99100166 | 64 | 4218704959498778311
encoder.conv_out.weight | BF16 | [32,512,3,3] | 99100230 | 294912 | 11122927697063054978
encoder.down_blocks.0.downsamplers.0.conv.bias | BF16 | [128] | 99395142 | 256 | 363039503679641345
encoder.down_blocks.0.downsamplers.0.conv.weight | BF16 | [128,128,3,3] | 99395398 | 294912 | 15758448256445431131
encoder.down_blocks.0.resnets.0.conv1.bias | BF16 | [128] | 99690310 | 256 | 16919097769091226235
encoder.down_blocks.0.resnets.0.conv1.weight | BF16 | [128,128,3,3] | 99690566 | 294912 | 12481169006524855555
encoder.down_blocks.0.resnets.0.conv2.bias | BF16 | [128] | 99985478 | 256 | 2384127442818255348
encoder.down_blocks.0.resnets.0.conv2.weight | BF16 | [128,128,3,3] | 99985734 | 294912 | 6718029099213123694
encoder.down_blocks.0.resnets.0.norm1.bias | BF16 | [128] | 100280646 | 256 | 15566409202886949501
encoder.down_blocks.0.resnets.0.norm1.weight | BF16 | [128] | 100280902 | 256 | 16920814062740619655
encoder.down_blocks.0.resnets.0.norm2.bias | BF16 | [128] | 100281158 | 256 | 5377852909989482568
encoder.down_blocks.0.resnets.0.norm2.weight | BF16 | [128] | 100281414 | 256 | 11974876350204044008
encoder.down_blocks.0.resnets.1.conv1.bias | BF16 | [128] | 100281670 | 256 | 12435834499881064845
